ena_run_accession,lineage_count,lineage_1,lineage_2,lineage_3,lineage_4,mixture_type
ERR13266803,2,lineage1.2.2,lineage3,,,major
ERR4827606,2,lineage2.2.10,lineage4.10,,,major
ERR4798955,2,lineage2.2,lineage4.1.2.1,,,major
ERR13267479,1,lineage3.1.1,,,,single
ERR4813953,1,lineage4.1.2.1,,,,single
ERR4812883,1,lineage4.10,,,,single
ERR8975801,2,lineage2.2.6,lineage4.3.3,,,major
ERR4797100,1,lineage3,,,,single
ERR13284922,2,lineage2.2.10,lineage4.10,,,major
ERR4796357,1,lineage1.1.2,,,,single
ERR4828068,2,lineage2.2.9,lineage4.10,,,major
ERR13261962,2,lineage3,lineage4.1.1.3,,,major
ERR2510150,1,lineage4.3.3,,,,single
ERR4827958,1,lineage2.2.10,,,,single
ERR13266570,2,lineage1.1.2,lineage2.2.3,,,major
ERR4799919,2,lineage3.1.2,lineage4.2.2,,,major
ERR4831635,2,lineage1.1.1.1,lineage2.2.7,,,major
ERR13266622,2,lineage2.2.6,lineage4.6.2.1,,,major
ERR4799036,4,lineage1.2.2,lineage2.2,lineage3,lineage4,complex
ERR13266225,2,lineage2.2,lineage4.1.2,,,major
ERR13284666,1,lineage4.2.1,,,,single
ERR4799020,2,lineage3.1.2,lineage4.10,,,major
ERR13285132,1,lineage4.2.1,,,,single
ERR4811554,2,lineage2.1,lineage2.2,,,minor
ERR4827935,2,lineage2.2.10,lineage5,,,major
ERR4811041,1,lineage2.2.3,,,,single
ERR13285758,2,lineage2.2.10,lineage4.2.1,,,major
ERR4797711,2,lineage1.2.2,lineage2.2.7,,,major
ERR4817069,1,lineage1.2.1,,,,single
ERR4830033,1,lineage2.2.9,,,,single
ERR4799888,2,lineage2.2,lineage3,,,major
ERR4799922,1,lineage2.2.3,,,,single
ERR2510645,1,lineage3,,,,single
ERR13289278,1,lineage4.4.1.1,,,,single
ERR4831634,2,lineage1.1.1,lineage2.2.7,,,major
ERR4831931,1,lineage2.2,,,,single
ERR4819667,2,lineage4.1.2.1,lineage4.3.3,,,minor
ERR13288812,1,lineage2.2,,,,single
ERR13261471,3,lineage2.2,lineage3.1.2,lineage4.4.2,,complex
ERR13262046,2,lineage2.2,lineage3,,,major
ERR4832002,1,lineage2.1,,,,single
ERR4831546,1,lineage2.2,,,,single
ERR4830479,1,lineage1.2.2,,,,single
ERR4797588,2,lineage3,lineage4,,,major
ERR4828462,2,lineage1.1.1.1,lineage2.2.7,,,major
ERR4831839,1,lineage2.2.7,,,,single
ERR4828966,1,lineage2.2.10,,,,single
ERR9119906,2,lineage2.2,lineage4.10,,,major
ERR13288776,1,lineage2.2,,,,single
ERR13261241,1,lineage2.2.7,,,,single
ERR2516477,1,lineage4.1.2.1,,,,single
ERR4812359,2,lineage4.1.1,lineage4.3.3,,,minor
